collected_at,media_id,item_id,tiktok_id,slot_id,scheduled_at,published_at,age_hours,age_label,is_trial,duration_seconds,views,reach,likes,comments,shares,saved,total_interactions,ig_reels_avg_watch_time,error
2026-08-10T06:19:05.088280+00:00,17902106994540777,q_20260808T194100_7276110548935249158,7276110548935249158,we-evening,2026-08-08T16:50:28.784159-03:00,2026-08-08T19:54:42.487723+00:00,34.4,h24,false,60.211,1778,1507,92,0,7,11,120,12493,
2026-08-11T06:00:18.006557+00:00,18092472602100302,q_20260809T104300_7146966322545446149,7146966322545446149,we-late-am,2026-08-09T10:13:00-03:00,2026-08-09T15:47:32.548518+00:00,38.2,h24,false,48.043,497,445,23,1,0,1,26,5622,
2026-08-11T06:00:18.006557+00:00,18610291504060416,q_20260809T221300_7288713801967488262,7288713801967488262,we-evening,2026-08-09T18:16:00-03:00,2026-08-09T21:48:32.780838+00:00,32.2,h24,false,59.328,4988,4217,333,4,27,37,411,17218,
2026-08-12T06:23:16.275471+00:00,18116742784955148,q_20260810T181600_7170318082446019845,7170318082446019845,wd-lunch,2026-08-10T12:13:00-03:00,2026-08-10T15:17:20.427567+00:00,39.1,h24,false,41.367,3748,3006,162,2,12,20,207,12614,
2026-08-12T06:23:16.275471+00:00,18276323818294862,q_20260810T090400_7282146253863947525,7282146253863947525,wd-commute,2026-08-10T18:31:00-03:00,2026-08-10T22:21:03.948117+00:00,32.0,h24,false,74.143,15738,12920,1703,10,160,203,2243,15397,
2026-08-13T02:42:57.912258+00:00,18090115040534861,q_20260811T084100_7261719493234265349,7261719493234265349,wd-lunch,2026-08-11T12:26:00-03:00,2026-08-11T16:11:26.646725+00:00,34.5,h24,false,54.7,1141,992,64,0,4,6,79,6627,
2026-08-13T02:42:57.912258+00:00,18103097249334865,q_20260811T205300_7279779784622738693,7279779784622738693,wd-afternoon,2026-08-11T17:12:00-03:00,2026-08-11T21:05:19.155043+00:00,29.6,h24,false,61.975,16560,13605,1281,4,106,129,1606,14261,
2026-08-14T06:23:22.302046+00:00,17933278464363217,q_20260812T120000_7249095247077199109,7249095247077199109,wd-morning,2026-08-12T09:35:00-03:00,2026-08-12T13:47:00.364954+00:00,40.6,h24,false,26.681,3846,3103,201,1,13,25,252,9696,
2026-08-15T05:35:06.027410+00:00,18140927077563854,q_20260813T184200_7172658171608141061,7172658171608141061,wd-morning,2026-08-13T09:11:00-03:00,2026-08-13T13:43:02.022834+00:00,39.9,h24,false,34.669,1729,1456,106,3,2,12,130,7123,
2026-08-15T05:35:06.027410+00:00,18083325593265583,q_20260812T180000_7278034913729907974,7278034913729907974,wd-commute,2026-08-13T18:57:00-03:00,2026-08-13T22:23:36.151571+00:00,31.2,h24,false,61.604,53069,45090,4183,15,470,551,5642,13753,
